"","Obj.No","Upper.left.x","Upper.left.y","Lower.right.x","Lower.right.y","Centroid_coordx","Centroid_coord_y","Area","Convex_area","Eccentricity","Extent","Filled_area","Major_axis_length","Perimeter","cluster_no"
"700",699,560,48,561,50,560.5,49,2,2,1,1,2,2,0,2
"701",700,565,48,566,50,565.5,49,2,2,1,1,2,2,0,2
"702",701,770,48,776,50,773,49,8,8,0.957427107756338,0.666666666666667,8,6,6,2
"762",761,872,96,891,113,881.5,104.5,245,250,0.51173524925419,0.758513931888545,245,19.06462375999,55.698484809835,1
"890",889,517,177,518,178,517.5,177.5,1,1,0,1,1,0,0,2
"924",923,791,196,807,214,799,205,208,227,0.595286346709218,0.722222222222222,212,18.7527386318961,69.5269119345812,2
"1142",1141,48,338,50,344,49,341,9,10,0.950282994813315,0.75,9,5.97109856084753,8.20710678118655,2
"1175",1174,380,354,401,369,390.5,361.5,243,250,0.78767160988629,0.771428571428571,243,22.4091177729265,58.0416305603426,2
"1236",1235,560,389,570,402,565,395.5,62,88,0.743596221992423,0.476923076923077,62,12.7457086799513,33.8994949366117,1
"1265",1264,176,407,182,423,179,415,48,65,0.891747808522293,0.5,48,14.3583680986411,34.0710678118655,2
"1289",1288,187,418,188,419,187.5,418.5,1,1,0,1,1,0,0,2
"1290",1289,190,418,191,419,190.5,418.5,1,1,0,1,1,0,0,2
"1295",1294,190,420,191,421,190.5,420.5,1,1,0,1,1,0,0,2
"1298",1297,182,422,189,425,185.5,423.5,15,19,0.930093657435847,0.714285714285714,15,8.14193880564209,14.2071067811865,2
"1300",1299,612,423,620,427,616,425,22,26,0.891625004028263,0.6875,22,8.19499361246812,16.6568542494924,2
"1311",1310,615,428,623,436,619,432,34,44,0.548075893494663,0.53125,34,7.75499149080789,23.3492424049175,2
"1383",1382,990,460,1009,480,999.5,470,289,298,0.396327407477537,0.760526315789474,289,20.0379554484605,61.1126983722081,2
"1401",1400,421,467,422,469,421.5,468,2,2,1,1,2,2,0,2
"1404",1403,411,468,413,470,412,469,4,4,0,1,4,2,4,2
"1413",1412,407,472,408,473,407.5,472.5,1,1,0,1,1,0,0,2
"1414",1413,409,472,410,473,409.5,472.5,1,1,0,1,1,0,0,2
"1430",1429,414,480,416,481,415,480.5,2,2,1,1,2,2,0,2
"1612",1611,100,572,110,579,105,575.5,38,50,0.848231062386039,0.542857142857143,38,10.72379256074,28.142135623731,2
"1633",1632,304,582,306,599,305,590.5,32,33,0.994427810947265,0.941176470588235,32,18.8408306607969,32.4142135623731,2
"1696",1695,184,613,206,636,195,624.5,347,360,0.614381376197846,0.685770750988142,347,23.9043661383565,69.5979797464467,2
"1761",1760,571,640,583,658,577,649,171,181,0.787476958862027,0.791666666666667,171,18.9719926223975,49.9705627484771,1
"1821",1820,552,670,569,690,560.5,680,261,268,0.69075652603791,0.767647058823529,261,21.474754637756,58.8700576850888,2
"1845",1844,392,679,393,680,392.5,679.5,1,1,0,1,1,0,0,2
"1849",1848,398,682,400,686,399,684,5,6,0.955796139396254,0.625,5,4.34169545110285,4.20710678118655,2
"1859",1858,385,687,386,688,385.5,687.5,1,1,0,1,1,0,0,2
"1860",1859,392,687,395,688,393.5,687.5,3,3,1,1,3,3.2659863237109,1,1
"1861",1860,396,687,397,688,396.5,687.5,1,1,0,1,1,0,0,2
"1862",1861,448,687,452,688,450,687.5,4,4,1,1,4,4.47213595499958,2,2
"1867",1866,387,688,392,689,389.5,688.5,5,5,1,1,5,5.65685424949238,3,2
"1881",1880,384,692,393,699,388.5,695.5,42,47,0.764511003348734,0.666666666666667,42,9.4409524902911,24.8994949366117,2
"1897",1896,974,700,991,719,982.5,709.5,232,246,0.651017374592159,0.718266253869969,232,20.0840848356043,58.6274169979695,2
"1997",1996,176,745,177,749,176.5,747,4,4,1,1,4,4.47213595499958,2,2
"2037",2036,627,763,640,783,633.5,773,170,187,0.761886866829884,0.653846153846154,170,18.6129910629007,57.4558441227157,2
"2117",2116,48,792,50,798,49,795,11,11,0.951868376270056,0.916666666666667,11,6.41074798336511,11.2071067811865,2
"2459",2458,432,934,433,942,432.5,938,8,8,1,1,8,9.16515138991168,6,2
"2595",2594,176,984,179,994,177.5,989,20,23,0.956390139657547,0.666666666666667,20,9.8453098070709,15.4142135623731,2
